"","State","Date.Local","no2","no2_aqi","o3","o3_aqi","so2","co","so2_aqi","co_aqi"
"132","Alaska","2015-06-19",5.495833,13,0.029167,40,1.5458335,0.2525,3,3
"133","Alaska","2015-06-20",4.291667,10,0.027667,31,2.1201865,0.279275,6,3
"134","Alaska","2015-06-21",3.168182,8,0.02775,35,2.1104165,0.34375,6,5
"135","Alaska","2015-06-22",5.875,12,0.032,38,2.3666665,0.69875,4,11
"136","Alaska","2015-06-23",4.591667,7,0.029042,33,2.1400625,0.674692,4,10
"137","Alaska","2015-06-25",4.266667,7,0.027625,40,2.7979165,1.13625,7,19
"138","Alaska","2015-06-26",7.220833,10,0.022667,29,3.550932,0.8471195,7,14
"139","Alaska","2015-06-27",4.231818,8,0.015792,18,3.0708335,0.609375,4,11
"140","Alaska","2015-06-28",3.05,7,0.019917,28,3.6604165,0.35375,10,5
"141","Alaska","2015-06-29",4.966667,9,0.015167,19,4.2096275,0.2981705,20,5
"142","Alaska","2015-06-30",3.865,8,0.016412,23,2.8729165,0.2885415,6,3
"143","Alaska","2015-07-01",2.445833,4,0.015542,18,2.925,0.376458,4,6
"144","Alaska","2015-07-02",2.866667,6,0.013333,15,3.530124,0.5110325,6,8
"145","Alaska","2015-07-03",3.181818,7,0.022333,30,3.2375,0.343542,6,5
"146","Alaska","2015-07-04",3.879167,8,0.025208,33,3.4791665,0.327083,9,5
"147","Alaska","2015-07-05",4.554167,7,0.030792,42,3.8496895,0.5197645,9,9
"148","Alaska","2015-07-06",5.086364,11,0.02425,28,3.1708335,0.3333335,6,5
"149","Alaska","2015-07-07",7.770833,14,0.017125,19,6.33125,1.943542,23,43
"150","Alaska","2015-07-08",3.033333,6,0.016083,20,3.9869565,0.975489,6,20
"151","Alaska","2015-07-09",5.409091,11,0.013833,19,3.8645835,0.34125,24,7
"152","Alaska","2015-07-10",5.108696,12,0.018875,25,2.9,0.272011,6,3
"153","Alaska","2015-07-11",5,5,0.021583,26,2.479193,0.226938,4,3
"154","Alaska","2015-07-13",1.814286,3,0.016208,23,2.9833335,0.274167,7,3
"155","Alaska","2015-07-14",3.516667,8,0.014625,21,2.792857,0.353949,6,6
"156","Alaska","2015-07-15",3.568182,6,0.018,26,4.0208335,0.1958335,11,2
"157","Alaska","2015-07-16",3.866667,9,0.020667,25,3.1,0.1835415,9,2
"158","Alaska","2015-07-17",2.491667,8,0.019208,23,2.867702,0.1805795,7,2
"159","Alaska","2015-07-18",1.645455,5,0.012083,14,2.45,0.1916665,4,2
"160","Alaska","2015-07-19",1.4125,4,0.009125,11,2.5979165,0.1966665,3,2
"161","Alaska","2015-07-20",1.595238,5,0.013773,16,2.9807455,0.20225,7,2
"162","Alaska","2015-07-21",2.036364,6,0.010467,12,2.5583335,0.21,4,2
"163","Alaska","2015-07-22",3.020833,8,0.008875,11,2.6708335,0.2029165,6,2
"164","Alaska","2015-07-23",5.483333,10,0.016708,29,4.3565215,0.234239,23,3
"165","Alaska","2015-07-24",4.377273,12,0.009824,14,3.3520835,0.293125,13,3
"166","Alaska","2015-07-25",3.104167,8,0.008583,12,3.2375,0.2941665,6,3
"167","Alaska","2015-07-26",2.058333,7,0.010625,13,4.0285715,0.2794565,21,3
"168","Alaska","2015-07-27",2.977273,6,0.014875,16,3.1020835,0.328542,4,5
"169","Alaska","2015-07-28",3.491667,6,0.0145,20,3.5416665,0.3279165,9,5
"170","Alaska","2015-07-29",4.76087,8,0.011042,20,4.2984475,0.335797,17,5
"171","Alaska","2015-07-30",3.854167,8,0.012583,20,3.5270835,0.286875,7,3
"172","Alaska","2015-07-31",5.15,16,0.014167,22,6.41875,0.27875,40,5
"173","Alaska","2015-08-01",1.758333,3,0.014208,19,3.274845,0.259547,6,3
"174","Alaska","2015-08-02",1.929167,6,0.008375,11,3.1625,0.2097915,4,2
"175","Alaska","2015-08-03",2.275,5,0.009333,16,3.8208335,0.2114585,10,3
"176","Alaska","2015-08-04",5.941667,10,0.014708,26,6.0152175,0.2580435,23,5
"177","Alaska","2015-08-05",5.504167,8,0.010417,16,4.0458335,0.262083,9,3
"178","Alaska","2015-08-06",2.995833,9,0.014667,21,3.628788,0.2635985,9,3
"179","Alaska","2015-08-07",3.991667,17,0.017875,29,3.0419255,0.216377,4,3
"180","Alaska","2015-08-08",5.470833,12,0.017708,26,4.9604165,0.359375,27,6
"181","Alaska","2015-08-09",2.633333,5,0.016583,21,3.2583335,0.2389585,6,5
"182","Alaska","2015-08-10",0.977273,4,0.014542,16,3.0381985,0.1498185,4,2
"183","Alaska","2015-08-11",2.683333,7,0.014417,20,3.25625,0.1197915,7,2
"184","Alaska","2015-08-12",2.133333,7,0.012917,19,3.2083335,0.1329165,6,2
"185","Alaska","2015-08-13",2.8875,8,0.009333,15,3.179503,0.1687685,6,2
"186","Alaska","2015-08-14",3.466667,8,0.010708,19,3.89375,0.190625,7,2
"187","Alaska","2015-08-15",3.620833,8,0.019,26,3.975,0.155208,9,2
"188","Alaska","2015-08-16",2.316667,6,0.016167,21,3.7391305,0.149873,10,2
"189","Alaska","2015-08-17",2.666667,6,0.018091,23,2.4639755,0.151123,6,2
"190","Alaska","2015-08-18",3.508333,7,0.009083,12,1.8375,0.155,3,2
"191","Alaska","2015-08-19",0.779167,1,0.013667,16,1.7381985,0.147138,1,2
"192","Alaska","2015-08-20",2.604167,5,0.011292,19,1.90625,0.140208,4,2
"193","Alaska","2015-08-21",5.213636,10,0.012333,19,2.653416,0.161377,11,2
"194","Alaska","2015-08-22",2.283333,4,0.014625,17,2.051242,0.126812,3,2
"195","Alaska","2015-08-23",1.945833,3,0.011125,13,2.01875,0.1110415,3,1
