year_month,ppm,aqi,type
2010-07,1.314702435,4.781897987,SO2
2010-08,1.289246085,4.518775108,SO2
2010-09,1.369740353,4.371327418,SO2
2010-10,1.392338848,5.06952895,SO2
2010-11,1.607769364,4.549465315,SO2
2010-12,2.043601507,6.414413877,SO2
2011-01,2.16069312,7.214966467,SO2
2011-02,1.851468564,6.249306466,SO2
2011-03,1.341322496,4.595740946,SO2
2011-04,1.218345382,4.218399077,SO2
2011-05,1.163112295,4.073516553,SO2
2011-06,1.169741029,4.463416259,SO2
2011-07,1.156151729,4.827688621,SO2
2011-08,1.258550281,4.997745256,SO2
2011-09,1.010449161,3.854277042,SO2
2011-10,1.150666269,3.995956058,SO2
2011-11,1.185165778,4.074289172,SO2
2011-12,1.447282634,4.986311616,SO2
2012-01,1.407473373,5.150062283,SO2
2012-02,1.269048897,4.83321798,SO2
2012-03,0.913969232,3.606756182,SO2
2012-04,0.819310907,3.470635639,SO2
2012-05,0.792487643,3.416929585,SO2
2012-06,0.865127793,3.816323033,SO2
2012-07,0.931211451,3.76380704,SO2
2012-08,0.846363476,3.397593314,SO2
2012-09,0.684149022,2.426396114,SO2
2012-10,0.770146948,2.649716674,SO2
2012-11,1.208985596,4.098322355,SO2
2012-12,1.074379021,3.462391,SO2
2013-01,1.392100405,4.616418233,SO2
2013-02,1.134568751,4.120041293,SO2
2013-03,0.973245212,3.512071372,SO2
2013-04,0.759448423,2.725729209,SO2
2013-05,0.63438218,2.117701736,SO2
2013-06,0.645807042,2.245240501,SO2
2013-07,0.68625286,2.470773244,SO2
2013-08,0.738159679,3.095553658,SO2
2013-09,0.65921924,2.596444421,SO2
2013-10,0.789408363,3.20315316,SO2
2013-11,0.97629691,3.806315866,SO2
2013-12,1.274579053,4.885474084,SO2
2014-01,1.418396167,5.263077082,SO2
2014-02,1.376310441,5.60932881,SO2
2014-03,1.039225623,4.309853855,SO2
2014-04,0.742387156,3.104938231,SO2
2014-05,0.718382526,2.809589639,SO2
2014-06,0.678778069,2.469047987,SO2
2014-07,0.78203753,2.677355947,SO2
2014-08,0.767875468,2.910350579,SO2
2014-09,0.777905428,3.12649036,SO2
2014-10,0.890662563,3.547226554,SO2
2014-11,1.307915759,4.468260623,SO2
2014-12,1.206942488,3.638193983,SO2
2015-01,1.257227656,4.114934991,SO2
2015-02,1.535539165,5.033208817,SO2
2015-03,1.018252991,3.800404647,SO2
2015-04,0.777050622,2.733444209,SO2
2015-05,0.737215233,2.388937088,SO2
2015-06,0.644298689,2.332683411,SO2
2015-07,0.656481571,2.283323229,SO2
2015-08,0.717639118,2.552239107,SO2
2015-09,0.763416043,2.284921937,SO2
2015-10,0.707953119,2.342644568,SO2
2015-11,0.773179618,2.235918276,SO2
2015-12,0.878631481,2.275910983,SO2
2000-01,0.013371617,19.1357416,O3
2000-02,0.017125235,24.77032182,O3
2000-03,0.023283146,31.25848525,O3
2000-04,0.027325201,37.13023332,O3
2000-05,0.031529802,45.61993965,O3
2000-06,0.02984642,46.3053617,O3
2000-07,0.031936981,50.94732206,O3
2000-08,0.030165514,50.28651014,O3
2000-09,0.022468172,35.60466621,O3
2000-10,0.018455512,29.32519057,O3
2000-11,0.012090345,18.62304979,O3
2000-12,0.01100386,15.96434369,O3
2001-01,0.011065696,16.44142567,O3
2001-02,0.015292831,21.13248602,O3
2001-03,0.022685474,30.09459026,O3
2001-04,0.02975118,39.47790757,O3
2001-05,0.032012976,46.06131297,O3
2001-06,0.032304118,53.32734149,O3
2001-07,0.031915326,50.41606894,O3
2001-08,0.030676391,52.66230476,O3
2001-09,0.023258318,36.72139003,O3
2001-10,0.021865664,30.77931169,O3
2001-11,0.016627326,23.37796665,O3
2001-12,0.012579296,17.40619499,O3
2002-01,0.012469758,18.01096799,O3
2002-02,0.019180662,25.67953394,O3
2002-03,0.024226804,30.30147701,O3
2002-04,0.029865248,37.62793203,O3
2002-05,0.032032622,42.48313075,O3
2002-06,0.034966244,57.03637786,O3
2002-07,0.035368331,59.85560563,O3
2002-08,0.03370697,57.0065786,O3
2002-09,0.027437736,43.90282184,O3
2002-10,0.018123644,25.45987866,O3
2002-11,0.01489831,21.07278164,O3
2002-12,0.013797472,19.32605164,O3
2003-01,0.014231208,19.33675082,O3
2003-02,0.017359817,22.61901957,O3
2003-03,0.024817115,31.63673338,O3
2003-04,0.032296486,41.41759625,O3
2003-05,0.028691887,38.59318946,O3
2003-06,0.033000192,50.44142414,O3
2003-07,0.031684238,48.245694,O3
2003-08,0.029186157,46.30254476,O3
2003-09,0.023544662,35.02961097,O3
2003-10,0.019296349,29.44453007,O3
2003-11,0.0136475,20.06491537,O3
2003-12,0.01342236,18.61491516,O3
2004-01,0.014057145,19.49297521,O3
2004-02,0.018232595,24.80300153,O3
2004-03,0.024859944,31.42361198,O3
2004-04,0.03121401,39.8036898,O3
2004-05,0.029756838,39.74041798,O3
2004-06,0.028526081,40.12766009,O3
2004-07,0.029517122,44.38068409,O3
2004-08,0.026042556,38.97212116,O3
2004-09,0.023718424,36.4017003,O3
2004-10,0.016695196,24.52494691,O3
2004-11,0.013499097,18.95213722,O3
2004-12,0.012235054,17.31955851,O3
2005-01,0.012722953,17.80640213,O3
2005-02,0.017734759,23.68687374,O3
2005-03,0.025651104,31.96137517,O3
2005-04,0.032338498,41.86678521,O3
2005-05,0.031597767,42.9868928,O3
2005-06,0.032634926,50.9284341,O3
2005-07,0.031586452,50.30461095,O3
2005-08,0.029571961,48.30864206,O3
2005-09,0.027001264,42.97081525,O3
2005-10,0.018856181,28.12143938,O3
2005-11,0.017258256,23.81136785,O3
2005-12,0.011934843,17.06995091,O3
2006-01,0.015400057,20.86980676,O3
2006-02,0.020314226,26.1785066,O3
2006-03,0.028443779,33.98916704,O3
2006-04,0.031495203,39.41495323,O3
2006-05,0.031520131,42.59286948,O3
2006-06,0.032981411,49.06157458,O3
2006-07,0.033015373,50.09898403,O3
2006-08,0.02952068,44.03062838,O3
2006-09,0.022268522,32.04349627,O3
2006-10,0.018962087,26.6730674,O3
2006-11,0.015392379,21.70596802,O3
2006-12,0.013668111,18.87978703,O3
2007-01,0.016063337,20.4619357,O3
2007-02,0.020674178,25.70014447,O3
2007-03,0.02732927,33.60091595,O3
2007-04,0.032210774,38.80847297,O3
2007-05,0.034192485,45.48207829,O3
2007-06,0.031987085,46.73965611,O3
2007-07,0.030524996,43.97067684,O3
2007-08,0.031151108,48.19777239,O3
2007-09,0.026556886,38.50132761,O3
2007-10,0.020582508,28.48754781,O3
2007-11,0.016709871,22.7074802,O3
2007-12,0.015074038,20.00886937,O3
2008-01,0.016898885,21.38083343,O3
2008-02,0.020220717,25.3778485,O3
2008-03,0.028647164,33.34161361,O3
2008-04,0.03246886,39.29312833,O3
2008-05,0.03233455,39.64039665,O3
2008-06,0.032109084,44.15517092,O3
2008-07,0.032344246,46.46788461,O3
2008-08,0.027237526,37.93733927,O3
2008-09,0.022680416,32.7025902,O3
2008-10,0.020473501,28.27832354,O3
2008-11,0.01766195,22.84600501,O3
2008-12,0.016399349,20.42626136,O3
2009-01,0.01803568,22.43784713,O3
2009-02,0.024719003,28.71235057,O3
2009-03,0.029085678,33.22887166,O3
2009-04,0.033924905,39.45461979,O3
2009-05,0.030257358,37.32387602,O3
2009-06,0.030446377,38.728516,O3
2009-07,0.029075224,37.84203232,O3
2009-08,0.027151871,37.3713946,O3
2009-09,0.023134535,31.69252384,O3
2009-10,0.017070095,22.35748879,O3
2009-11,0.017868721,23.6558086,O3
2009-12,0.0173077,21.30731,O3
2010-01,0.019468722,23.25713233,O3
2010-02,0.02388361,27.88172905,O3
2010-03,0.030419935,35.80114091,O3
2010-04,0.034145734,41.59862203,O3
2010-05,0.032097948,39.53663292,O3
2010-06,0.031100177,39.511195,O3
2010-07,0.030586369,41.71900518,O3
2010-08,0.030069728,41.72312613,O3
2010-09,0.026236748,36.41706578,O3
2010-10,0.02371759,32.70947498,O3
2010-11,0.019369785,24.92756805,O3
2010-12,0.019050754,22.73045014,O3
2011-01,0.019226878,23.60574176,O3
2011-02,0.024755402,29.35663011,O3
2011-03,0.029485206,33.4457175,O3
2011-04,0.032849369,37.14433249,O3
2011-05,0.032431459,38.72726595,O3
2011-06,0.034257264,45.50528624,O3
2011-07,0.034364232,47.72727724,O3
2011-08,0.031119671,42.82733851,O3
2011-09,0.025114005,34.5864752,O3
2011-10,0.021576821,29.09957977,O3
2011-11,0.018836838,24.23301975,O3
2011-12,0.014505535,19.42323409,O3
2012-01,0.017635377,22.13014408,O3
2012-02,0.022146386,26.72170866,O3
2012-03,0.028889578,34.10305189,O3
2012-04,0.034015511,39.70804672,O3
2012-05,0.035025331,43.90104824,O3
2012-06,0.036037751,47.99893785,O3
2012-07,0.035934659,49.36303757,O3
2012-08,0.03319266,47.6947163,O3
2012-09,0.026642797,35.5282375,O3
2012-10,0.021106528,27.35997156,O3
2012-11,0.01810667,24.09176374,O3
2012-12,0.018141606,22.391129,O3
2013-01,0.019695615,25.14195259,O3
2013-02,0.025544637,30.84005407,O3
2013-03,0.031910973,37.38959955,O3
2013-04,0.034703396,40.68830801,O3
2013-05,0.033005446,41.92279321,O3
2013-06,0.031218793,41.1375487,O3
2013-07,0.030895396,43.42452047,O3
2013-08,0.029358039,41.45359024,O3
2013-09,0.027448492,39.50575048,O3
2013-10,0.020308094,28.72611127,O3
2013-11,0.018872529,24.72716643,O3
2013-12,0.016153236,21.42457541,O3
2014-01,0.02073497,26.70944966,O3
2014-02,0.024467817,31.33608783,O3
2014-03,0.029496346,36.96781846,O3
2014-04,0.034219643,42.85814292,O3
2014-05,0.03327968,44.90492061,O3
