"","X.8","State","year","no2","no2_aqi","o3","o3_aqi","so2","co","so2_aqi","co_aqi","Lat","Long","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"32",32,"Oregon",2015,9.18756752876712,16.7506849315069,0.0196803506849315,28.1534246575342,0.466264526027397,0.275150569863014,0.942465753424658,4.76164383561644,43.804133,-120.554201,"Oregon",NA,NA,NA,NA,NA,NA,""
"33",33,"Pennsylvania",2015,6.93991935209176,15.094390084801,0.0276675758012611,37.4860861056751,1.34167457726788,0.174156442591868,6.07088280060883,2.75541856925419,41.203322,-77.194525,"Pennsylvania",NA,NA,NA,NA,NA,NA,""
"34",34,"Rhode Island",2015,7.64018512222222,15.5388888888889,0.0291851638888889,37.7055555555556,0.333022411111111,0.231601456944444,0.738888888888889,3.37222222222222,41.580095,-71.477429,"Rhode Island",NA,NA,NA,NA,NA,NA,""
"35",35,"South Dakota",2015,4.72093338815789,9.70065789473684,0.0238629309210526,29.3684210526316,0.368600761513158,0.194528680921053,0.328947368421053,2.62046204620462,43.969515,-99.901813,"South Dakota",NA,NA,NA,NA,NA,NA,""
"36",36,"Tennessee",2015,0.775064840517241,1.06896551724138,0.0375599784482759,42.2629310344828,0.101934670258621,0.167289202586207,0.146551724137931,1.94372294372294,35.517491,-86.580447,"Tennessee",NA,NA,NA,NA,NA,NA,""
"37",37,"Texas",2015,9.15733505451101,18.0003009015338,0.0248167708774483,36.6090772241457,0.252970706249686,0.206323672390653,1.15579206181946,3.39839212537843,31.968599,-99.901813,"Texas",NA,NA,NA,NA,NA,NA,""
"38",38,"Utah",2015,16.9816929802372,29.8142292490119,0.027733814229249,43.0553359683794,0.251121835968379,0.360338565217391,0.695652173913043,5.86561264822134,39.32098,-111.093731,"Utah",NA,NA,NA,NA,NA,NA,""
"39",39,"Virginia",2015,6.88831571232877,13.9721461187215,0.0266972442922374,36.3607305936073,0.470010554109589,0.280004964840183,1.20547945205479,4.14063926940639,37.431573,-78.656894,"Virginia",NA,NA,NA,NA,NA,NA,""
"40",40,"Washington",2015,9.67258483333333,20.9821428571429,0.021468494047619,28.077380952381,0.813734883928571,0.203479279761905,1.83333333333333,2.66666666666667,47.751074,-120.740139,"Washington",NA,NA,NA,NA,NA,NA,""
"41",41,"Wyoming",2015,3.39909394628099,10.287419651056,0.0365329155188246,42.8921028466483,0.281260401056015,0.0533647954545455,2.11891643709826,0.829201101928375,43.075968,-107.290284,"Wyoming",NA,NA,NA,NA,NA,NA,""
